team,conference,division,rating,inaugural_season
Brooklyn Nets,eastern,atlantic,1400,1976
Charlotte Hornets,eastern,southeast,1400,2004
Chicago Bulls,eastern,central,1400,1966
Cleveland Cavaliers,eastern,central,1400,1970
Dallas Mavericks,western,southwest,1400,1980
Denver Nuggets,western,northwest,1550,1976
Houston Rockets,western,southwest,1400,1967
Indiana Pacers,eastern,central,1450,1976
Los Angeles Clippers,western,pacific,1400,1970
Memphis Grizzlies,western,southwest,1400,1995
Miami Heat,eastern,southeast,1400,1988
Milwaukee Bucks,eastern,central,1400,1968
Minnesota Timberwolves,western,northwest,1400,1989
New Orleans Pelicans,western,southwest,1400,2002
Oklahoma City Thunder,western,northwest,1400,1967
Orlando Magic,eastern,southeast,1400,1989
Phoenix Suns,western,pacific,1400,1968
Portland Trailblazers,western,northwest,1400,1970
San Antonio Spurs,western,southwest,1500,1976
Toronto Raptors,eastern,atlantic,1400,1995
Utah Jazz,western,northwest,1400,1974
Washington Wizards,eastern,southeast,1400,1961
Boston Celtics,eastern,atlantic,1500,1946
Golden State Warriors,western,pacific,1500,1946
New York Knicks,eastern,atlantic,1500,1946
Philadelphia 76ers,eastern,atlantic,1500,1949
Atlanta Hawks,eastern,southeast,1500,1949
Detroit Pistons,eastern,central,1500,1948
Los Angeles Lakers,western,pacific,1500,1948
Sacramento Kings,western,pacific,1500,1948
Anderson Packers,NA,NA,1500,1949
Chicago Stags,NA,NA,1500,1946
Cleveland Rebels,NA,NA,1500,1946
Denver Nuggets (1st),NA,NA,1500,1949
Detroit Falcons,NA,NA,1500,1946
Indianapolis Jets,NA,NA,1500,1948
Indianapolis Olympians,NA,NA,1500,1949
Pittsburgh Ironmen,NA,NA,1500,1946
Providence Steamrollers,NA,NA,1500,1946
Sheboygan Redskins,NA,NA,1500,1949
St. Louis Bombers,NA,NA,1500,1946
Toronto Huskies,NA,NA,1500,1946
Washington Capitols,NA,NA,1500,1946
Waterloo Hawks,NA,NA,1500,1949
Baltimore Bullets (1st),NA,NA,1500,1947